,Date,Close,Change,Change_Percentage,PROC,rci,days
290,2001-02-27,4069.68,-43.01,-0.4301,0.0593423662058,48.7534213629,-5559.0
291,2001-02-28,4247.04,177.36,1.7736,0.0192091856765,55.518768369,-5558.0
292,2001-03-01,4271.65,24.61,0.2461,-0.00875649711777,50.6712371828,-5557.0
293,2001-03-02,4095.16,-176.49,-1.7649,0.0633297042113,45.2350782944,-5556.0
294,2001-03-05,3998.12,-97.04,-0.9704,0.0759466755417,47.5588313879,-5553.0
295,2001-03-07,4046.89,48.77,0.4877,0.0558128466138,51.5067430552,-5551.0
296,2001-03-08,4056.94,10.05,0.1005,0.0678544020808,50.4522854963,-5550.0
297,2001-03-09,3881.96,-174.98,-1.7498,0.11177516377,45.7709780584,-5549.0
298,2001-03-12,3767.89,-114.07,-1.1407,0.138825083594,47.4490796578,-5546.0
299,2001-03-13,3540.65,-227.24,-2.2724,0.179061566035,44.7587102569,-5545.0
300,2001-03-14,3725.03,184.38,1.8438,0.149767528913,54.5564644926,-5544.0
301,2001-03-15,3819.86,94.83,0.9483,0.131322870924,52.4409895431,-5543.0
302,2001-03-16,3745.74,-74.12,-0.7412,0.149912625105,48.7151553693,-5542.0
303,2001-03-19,3722.49,-23.25,-0.2325,0.146814728229,49.8370306443,-5539.0
304,2001-03-20,3672.4,-50.09,-0.5009,0.158306804092,49.2428416973,-5538.0
305,2001-03-21,3791.07,118.67,1.1867,0.145768692584,52.9317087444,-5537.0
306,2001-03-22,3713.97,-77.1,-0.771,0.142333591975,48.6441679816,-5536.0
307,2001-03-23,3635.28,-78.69,-0.7869,0.164428303817,48.6107345718,-5535.0
308,2001-03-26,3636.32,1.04,0.0104,0.165832419561,50.3979595602,-5532.0
309,2001-03-27,3694.82,58.5,0.585,0.141184920379,51.6645084838,-5531.0
310,2001-03-28,3788.21,93.39,0.9339,0.11128080609,52.4354934798,-5530.0
311,2001-03-29,3751.56,-36.65,-0.3665,0.0899043220059,49.3671831566,-5529.0
312,2001-03-30,3604.38,-147.18,-1.4718,0.123595505618,46.9270926539,-5528.0
313,2001-04-02,3566.26,-38.12,-0.3812,0.1237001435,49.5018343616,-5525.0
314,2001-04-03,3605.01,38.75,0.3875,0.151171168626,51.2447591173,-5524.0
315,2001-04-04,3565.65,-39.36,-0.3936,0.165275713132,49.4322977996,-5523.0
316,2001-04-06,3576.0,10.35,0.1035,0.126774045459,50.5949057882,-5521.0
317,2001-04-09,3544.08,-31.92,-0.3192,0.113563374786,49.581522858,-5518.0
318,2001-04-10,3458.39,-85.69,-0.8569,0.145420310411,48.2951027172,-5517.0
319,2001-04-11,3325.46,-132.93,-1.3293,0.180303381366,47.1709821451,-5516.0
